Date,Treatment,Round,Replicate,Resource,Culling,Live_XL,Live_L,Live_M,Live_S,Live_XS,Live_Beginning,Cull_Number,Cull_XL,Cull_L,Cull_M,Cull_S,Cull_XS,Cull_Total,Live_End
7/27/21,RP,1,1,Y,Size,0,0,4,12,24,40,8,0,0,4,4,0,8,32
7/27/21,RP,1,2,Y,Size,0,0,5,15,34,54,10.8,0,0,5,6,0,11,43
7/27/21,RP,1,3,Y,Size,0,0,14,18,33,65,13,0,0,13,0,0,13,52
7/27/21,RP,1,4,Y,Size,0,0,8,19,56,83,16.6,0,0,8,9,0,17,66
7/27/21,RP,1,5,Y,Size,0,0,2,19,31,52,10.4,0,0,2,8,0,10,42
7/27/21,RP,1,6,Y,Size,0,0,7,11,54,72,14.4,0,0,7,7,0,14,58
7/27/21,RP,1,7,Y,Size,0,0,12,29,48,89,17.8,0,0,12,6,0,18,71
7/27/21,RP,1,8,Y,Size,0,0,5,38,58,101,20.2,0,0,5,15,0,20,81
7/27/21,RP,1,9,Y,Size,0,0,6,15,46,67,13.4,0,6,6,7,0,19,48
7/27/21,RP,1,10,Y,Size,0,0,6,19,61,86,17.2,0,6,6,13,0,25,61
7/27/21,C,1,1,N,Size,0,1,5,14,36,56,11.2,0,1,5,5,0,11,45
7/27/21,C,1,2,N,Size,0,0,5,8,30,43,8.6,0,0,5,4,0,9,34
7/27/21,C,1,3,N,Size,0,1,5,18,45,69,13.8,0,1,5,8,0,14,55
7/27/21,C,1,4,N,Size,0,0,8,31,58,97,19.4,0,0,8,11,0,19,78
7/27/21,C,1,5,N,Size,0,0,4,12,36,52,10.4,0,0,4,6,0,10,42
7/27/21,C,1,6,N,Size,0,2,4,19,76,101,20.2,0,2,4,14,0,20,81
7/27/21,C,1,7,N,Size,0,0,6,9,89,104,20.8,0,0,6,9,6,21,83
7/27/21,C,1,8,N,Size,0,0,6,14,58,78,15.6,0,0,6,10,0,16,62
7/27/21,C,1,9,N,Size,0,0,6,13,84,103,20.6,0,0,6,13,1,20,83
7/27/21,C,1,10,N,Size,0,0,8,12,87,107,21.4,0,0,8,12,1,21,86
7/28/21,MME,1,1,Y,Uniform,0,0,7,23,81,111,22.2,0,0,1,5,16,22,89
7/28/21,MME,1,2,Y,Uniform,0,1,6,20,78,105,21,0,0,1,4,16,21,84
7/28/21,MME,1,3,Y,Uniform,0,0,6,13,83,102,20.4,0,0,1,3,17,20,82
7/28/21,MME,1,4,Y,Uniform,0,0,5,24,61,90,18,0,0,1,5,12,18,72
7/28/21,MME,1,5,Y,Uniform,0,1,5,18,64,88,17.6,0,0,1,4,13,18,70
7/28/21,MME,1,6,Y,Uniform,0,0,3,18,60,81,16.2,0,0,1,4,12,16,65
7/28/21,MME,1,7,Y,Uniform,0,0,5,6,75,86,17.2,0,0,1,1,15,17,69
7/28/21,MME,1,8,Y,Uniform,0,0,3,12,31,46,9.2,0,0,1,2,6,9,37
7/28/21,MME,1,9,Y,Uniform,0,0,8,12,37,57,11.4,0,0,2,2,7,11,46
7/28/21,MME,1,10,Y,Uniform,0,0,7,7,44,58,11.6,0,0,1,1,9,12,46
7/28/21,PR,1,1,N,Uniform,0,0,9,19,76,104,20.8,0,0,2,4,15,21,83
7/28/21,PR,1,2,N,Uniform,0,2,8,9,37,56,11.2,0,0,2,2,7,11,45
7/28/21,PR,1,3,N,Uniform,0,1,1,13,66,81,16.2,0,0,0,3,13,16,65
7/28/21,PR,1,4,N,Uniform,0,1,1,5,30,37,7.4,0,0,0,1,6,7,30
7/28/21,PR,1,5,N,Uniform,0,1,4,9,57,71,14.2,0,0,1,2,11,14,57
7/28/21,PR,1,6,N,Uniform,0,0,2,19,56,77,15.4,0,0,0,4,11,15,62
7/28/21,PR,1,7,N,Uniform,0,0,2,0,9,11,2.2,0,0,0,0,2,2,9
7/28/21,PR,1,8,N,Uniform,0,0,4,9,35,48,9.6,0,0,1,2,7,10,38
7/28/21,PR,1,9,N,Uniform,0,2,4,10,67,83,16.6,0,0,1,2,13,17,66
7/28/21,PR,1,10,N,Uniform,0,0,2,10,29,41,8.2,0,0,0,2,6,8,33
8/2/21,RP,2,1,Y,Size,1,2,6,38,40,87,17.4,1,2,6,8,0,17,70
8/2/21,RP,2,2,Y,Size,0,1,3,18,41,63,12.6,0,1,3,9,0,13,50
8/2/21,RP,2,3,Y,Size,1,0,10,33,88,132,26.4,1,0,10,15,0,26,106
8/2/21,RP,2,4,Y,Size,0,1,12,28,65,106,21.2,0,1,12,8,0,21,85
8/2/21,RP,2,5,Y,Size,0,0,9,34,49,92,18.4,0,0,9,9,0,18,74
8/2/21,RP,2,6,Y,Size,4,3,18,41,40,106,21.2,4,3,14,0,0,21,85
8/2/21,RP,2,7,Y,Size,2,4,20,36,103,165,33,2,4,20,7,0,33,132
8/2/21,RP,2,8,Y,Size,0,1,14,57,87,159,31.8,0,1,14,17,0,32,127
8/2/21,RP,2,9,Y,Size,0,4,10,43,27,84,16.8,0,4,10,3,0,17,67
8/2/21,RP,2,10,Y,Size,2,9,19,48,79,157,31.4,2,9,19,2,0,32,125
8/2/21,C,2,1,N,Size,0,1,9,36,51,97,19.4,0,1,9,9,0,19,78
8/2/21,C,2,2,N,Size,0,1,5,18,33,57,11.4,0,1,5,5,0,11,46
8/2/21,C,2,3,N,Size,0,0,9,40,44,93,18.6,0,0,9,10,0,19,74
8/2/21,C,2,4,N,Size,2,1,13,33,62,111,22.2,2,1,13,6,0,22,89
8/2/21,C,2,5,N,Size,1,1,5,25,52,84,16.8,1,1,5,10,0,17,67
8/2/21,C,2,6,N,Size,0,0,10,41,60,111,22.2,0,0,10,12,0,22,89
8/2/21,C,2,7,N,Size,1,1,12,36,37,87,17.4,1,1,12,3,0,17,70
8/2/21,C,2,8,N,Size,0,1,8,41,36,86,17.2,0,1,8,8,0,17,69
8/2/21,C,2,9,N,Size,0,0,4,16,9,29,5.8,0,0,4,1,0,5,24
8/2/21,C,2,10,N,Size,1,1,11,40,43,96,19.2,1,1,11,6,0,19,77
8/3/21,MME,2,1,Y,Uniform,5,5,29,68,76,183,36.6,1,1,6,14,15,37,146
8/3/21,MME,2,2,Y,Uniform,1,2,21,51,62,137,27.4,0,0,4,10,12,27,110
8/3/21,MME,2,3,Y,Uniform,0,4,18,46,82,150,30,0,1,4,9,16,30,120
8/3/21,MME,2,4,Y,Uniform,0,0,22,44,83,149,29.8,0,0,4,9,17,30,119
8/3/21,MME,2,5,Y,Uniform,1,5,18,64,91,179,35.8,0,1,4,13,18,36,143
8/3/21,MME,2,6,Y,Uniform,0,3,19,49,67,138,27.6,0,1,4,10,13,28,110
8/3/21,MME,2,7,Y,Uniform,0,2,20,62,66,150,30,0,0,4,12,13,30,120
8/3/21,MME,2,8,Y,Uniform,2,2,16,49,48,117,23.4,0,0,3,10,10,23,94
8/3/21,MME,2,9,Y,Uniform,0,1,17,32,68,118,23.6,0,0,3,6,14,24,94
8/3/21,MME,2,10,Y,Uniform,0,5,15,48,69,137,27.4,0,1,3,10,14,27,110
8/3/21,PR,2,1,N,Uniform,0,1,13,35,81,130,26,0,0,3,7,16,26,104
8/3/21,PR,2,2,N,Uniform,0,1,16,36,66,119,23.8,0,0,3,7,13,24,95
8/3/21,PR,2,3,N,Uniform,0,2,11,20,36,69,13.8,0,0,2,4,7,14,55
8/3/21,PR,2,4,N,Uniform,0,0,12,41,47,100,20,0,0,2,8,9,20,80
8/3/21,PR,2,5,N,Uniform,3,1,14,31,58,107,21.4,1,0,3,6,12,21,86
8/3/21,PR,2,6,N,Uniform,0,4,11,46,63,124,24.8,0,1,2,9,13,25,99
8/3/21,PR,2,7,N,Uniform,0,3,8,6,22,39,7.8,0,1,2,1,4,8,31
8/3/21,PR,2,8,N,Uniform,1,1,11,36,32,81,16.2,0,0,2,7,6,16,65
8/3/21,PR,2,9,N,Uniform,1,2,10,32,62,107,21.4,0,0,2,6,12,21,86
8/3/21,PR,2,10,N,Uniform,0,1,8,31,53,93,18.6,0,0,2,6,11,19,74
8/9/21,RP,3,1,Y,Size,1,2,18,52,111,184,36.8,1,2,18,16,0,37,147
8/9/21,RP,3,2,Y,Size,0,2,9,44,26,81,16.2,0,2,9,5,0,16,65
8/9/21,RP,3,3,Y,Size,1,2,36,83,92,214,42.8,1,2,36,4,0,43,171
8/9/21,RP,3,4,Y,Size,5,3,14,86,102,210,42,5,3,14,20,0,42,168
8/9/21,RP,3,5,Y,Size,2,5,17,48,123,195,39,3,5,17,14,0,39,156
8/9/21,RP,3,6,Y,Size,3,4,10,79,122,218,43.6,3,4,10,27,0,44,174
8/9/21,RP,3,7,Y,Size,2,7,26,101,121,257,51.4,2,7,26,16,0,51,206
8/9/21,RP,3,8,Y,Size,3,3,31,72,105,214,42.8,3,3,31,6,0,43,171
8/9/21,RP,3,9,Y,Size,4,4,21,58,102,189,37.8,4,4,21,9,0,38,151
8/9/21,RP,3,10,Y,Size,6,3,19,77,121,226,45.2,6,3,19,17,0,45,181
8/9/21,C,3,1,N,Size,0,3,12,46,69,130,26,0,3,12,11,0,26,104
8/9/21,C,3,2,N,Size,1,1,8,33,62,105,21,1,1,8,11,0,21,84
8/9/21,C,3,3,N,Size,1,0,15,53,73,142,28.4,1,0,15,12,0,28,114
8/9/21,C,3,4,N,Size,0,1,19,54,79,153,30.6,0,1,19,11,0,31,122
8/9/21,C,3,5,N,Size,1,0,13,68,85,167,33.4,1,0,13,19,0,33,134
8/9/21,C,3,6,N,Size,1,2,6,52,81,142,28.4,1,2,6,19,0,28,114
8/9/21,C,3,7,N,Size,1,3,24,39,86,153,30.6,1,3,24,3,0,31,122
8/9/21,C,3,8,N,Size,1,4,19,47,68,139,27.8,1,4,19,4,0,28,111
8/9/21,C,3,9,N,Size,0,1,9,17,52,79,15.8,0,1,9,6,0,16,63
8/9/21,C,3,10,N,Size,2,1,17,24,44,88,17.6,2,1,15,0,0,18,70
8/10/21,MME,3,1,Y,Uniform,2,12,45,117,143,319,63.8,0,2,9,23,29,64,255
8/10/21,MME,3,2,Y,Uniform,1,6,31,102,132,272,54.4,0,1,6,20,26,54,218
8/10/21,MME,3,3,Y,Uniform,2,4,61,73,123,263,52.6,0,1,12,15,25,53,210
8/10/21,MME,3,4,Y,Uniform,9,11,32,81,127,260,52,2,2,6,16,25,52,208
8/10/21,MME,3,5,Y,Uniform,2,7,30,98,116,253,50.6,0,1,6,20,23,51,202
8/10/21,MME,3,6,Y,Uniform,1,7,39,64,114,225,45,0,1,8,13,23,45,180
8/10/21,MME,3,7,Y,Uniform,3,11,42,76,139,271,54.2,1,2,8,15,28,54,217
8/10/21,MME,3,8,Y,Uniform,4,2,23,53,94,176,35.2,1,0,5,11,19,35,141
8/10/21,MME,3,9,Y,Uniform,2,6,19,62,98,187,37.4,0,1,4,12,20,37,150
8/10/21,MME,3,10,Y,Uniform,4,4,36,73,152,269,53.8,1,1,7,15,30,54,215
8/10/21,PR,3,1,N,Uniform,1,4,21,41,51,118,23.6,0,1,4,8,10,24,94
8/10/21,PR,3,2,N,Uniform,1,5,18,45,74,143,28.6,0,1,4,9,15,29,114
8/10/21,PR,3,3,N,Uniform,1,2,22,40,66,131,26.2,0,0,4,8,13,26,105
8/10/21,PR,3,4,N,Uniform,5,1,22,54,82,164,32.8,1,0,4,11,16,33,131
8/10/21,PR,3,5,N,Uniform,1,4,18,57,79,159,31.8,0,1,4,11,16,32,127
8/10/21,PR,3,6,N,Uniform,2,3,13,67,88,173,34.6,0,1,3,13,18,35,138
8/10/21,PR,3,7,N,Uniform,4,3,9,42,91,149,29.8,1,1,2,8,18,30,119
8/10/21,PR,3,8,N,Uniform,1,3,21,61,96,182,36.4,0,1,4,12,19,36,146
8/10/21,PR,3,9,N,Uniform,2,4,9,52,86,153,30.6,0,1,2,10,17,31,122
8/10/21,PR,3,10,N,Uniform,5,1,15,37,63,121,24.2,1,0,3,7,13,24,97
8/16/21,RP,4,1,Y,Size,3,5,35,73,82,198,39.6,3,5,32,0,0,40,158
8/16/21,RP,4,2,Y,Size,0,4,17,28,59,108,21.6,0,4,17,1,0,22,86
8/16/21,RP,4,3,Y,Size,5,3,33,63,81,185,37,5,3,29,0,0,37,148
8/16/21,RP,4,4,Y,Size,3,3,25,40,71,142,28.4,3,3,22,0,0,28,114
8/16/21,RP,4,5,Y,Size,3,4,34,61,67,169,33.8,3,4,27,0,0,34,135
8/16/21,RP,4,6,Y,Size,8,4,37,72,103,224,44.8,8,4,33,0,0,45,179
8/16/21,RP,4,7,Y,Size,4,5,24,86,123,242,48.4,4,5,24,15,0,48,194
8/16/21,RP,4,8,Y,Size,2,7,51,96,87,243,48.6,2,7,40,0,0,49,194
8/16/21,RP,4,9,Y,Size,5,2,31,84,114,236,47.2,5,2,31,9,0,47,189
8/16/21,RP,4,10,Y,Size,5,6,27,76,121,235,47,5,6,27,9,0,47,188
8/16/21,C,4,1,N,Size,0,1,11,39,42,93,18.6,0,1,11,7,0,19,74
8/16/21,C,4,2,N,Size,1,7,6,41,62,117,23.4,1,7,6,9,0,23,94
8/16/21,C,4,3,N,Size,2,4,14,36,74,130,26,2,4,14,6,0,26,104
8/16/21,C,4,4,N,Size,2,2,18,44,70,136,27.2,2,2,18,5,0,27,109
8/16/21,C,4,5,N,Size,1,1,8,31,51,92,18.4,1,1,8,8,0,18,74
8/16/21,C,4,6,N,Size,3,1,17,56,79,156,31.2,3,1,17,10,0,31,125
8/16/21,C,4,7,N,Size,4,1,8,25,66,104,20.8,4,1,8,8,0,21,83
8/16/21,C,4,8,N,Size,2,1,5,43,61,112,22.4,2,1,5,14,0,22,90
8/16/21,C,4,9,N,Size,3,2,6,26,68,105,21,3,2,6,10,0,21,84
8/16/21,C,4,10,N,Size,1,4,6,54,47,112,22.4,1,4,6,11,0,22,90
8/17/21,MME,4,1,Y,Uniform,3,5,39,82,123,252,50.4,1,1,8,16,25,50,202
8/17/21,MME,4,2,Y,Uniform,3,6,32,87,136,264,52.8,1,1,6,17,27,53,211
8/17/21,MME,4,3,Y,Uniform,3,6,26,92,97,224,44.8,1,1,5,18,19,45,179
8/17/21,MME,4,4,Y,Uniform,2,7,33,105,141,288,57.6,0,1,7,21,28,58,230
8/17/21,MME,4,5,Y,Uniform,0,6,39,112,133,290,58,0,1,8,22,27,58,232
8/17/21,MME,4,6,Y,Uniform,6,5,27,78,116,232,46.4,1,1,5,16,23,46,186
8/17/21,MME,4,7,Y,Uniform,0,2,35,72,145,254,50.8,0,0,7,14,29,51,203
8/17/21,MME,4,8,Y,Uniform,4,5,15,83,152,259,51.8,1,1,3,17,30,52,207
8/17/21,MME,4,9,Y,Uniform,6,5,22,87,128,248,49.6,1,1,4,17,26,50,198
8/17/21,MME,4,10,Y,Uniform,3,1,42,95,143,284,56.8,1,0,8,19,29,57,227
8/17/21,PR,4,1,N,Uniform,2,1,12,51,89,155,31,0,0,2,10,18,31,124
8/17/21,PR,4,2,N,Uniform,1,0,25,56,96,178,35.6,0,0,5,11,19,36,142
8/17/21,PR,4,3,N,Uniform,1,2,13,47,75,138,27.6,0,0,3,9,15,28,110
8/17/21,PR,4,4,N,Uniform,0,1,17,66,102,186,37.2,0,0,3,13,20,37,149
8/17/21,PR,4,5,N,Uniform,1,0,10,36,84,131,26.2,0,0,2,7,17,26,105
8/17/21,PR,4,6,N,Uniform,3,1,8,54,76,142,28.4,1,0,2,11,15,28,114
8/17/21,PR,4,7,N,Uniform,3,5,11,52,58,129,25.8,1,1,2,10,12,26,103
8/17/21,PR,4,8,N,Uniform,1,7,13,41,94,156,31.2,0,1,3,8,19,31,125
8/17/21,PR,4,9,N,Uniform,1,10,12,53,85,161,32.2,0,2,2,11,17,32,129
8/17/21,PR,4,10,N,Uniform,5,0,16,51,76,148,29.6,1,0,3,10,15,30,118